Age_group,State,Gender,Year,Total
15-29,KERALA,Female,2002,2067
15-29,KERALA,Female,2003,2322
15-29,KERALA,Female,2004,2187
15-29,KERALA,Female,2005,2070
15-29,KERALA,Female,2006,2046
15-29,KERALA,Female,2007,1830
15-29,KERALA,Female,2008,1998
15-29,KERALA,Female,2009,2115
15-29,KERALA,Female,2010,1824
15-29,KERALA,Female,2011,1764
15-29,KERALA,Female,2012,1722
15-29,KERALA,Male,2001,3327
15-29,KERALA,Male,2002,3792
15-29,KERALA,Male,2003,3600
15-29,KERALA,Male,2004,3321
15-29,KERALA,Male,2005,3714
15-29,KERALA,Male,2006,3198
15-29,KERALA,Male,2007,3291
15-29,KERALA,Male,2008,3048
15-29,KERALA,Male,2009,3573
15-29,KERALA,Male,2010,3120
15-29,KERALA,Male,2011,2781
15-29,KERALA,Male,2012,2763
15-29,LAKSHADWEEP,Female,2001,0
15-29,LAKSHADWEEP,Female,2002,0
15-29,LAKSHADWEEP,Female,2003,3
15-29,LAKSHADWEEP,Female,2004,0
15-29,LAKSHADWEEP,Female,2005,0
15-29,LAKSHADWEEP,Female,2006,3
15-29,LAKSHADWEEP,Female,2007,0
15-29,LAKSHADWEEP,Female,2008,0
15-29,LAKSHADWEEP,Female,2009,0
15-29,LAKSHADWEEP,Female,2010,0
15-29,LAKSHADWEEP,Female,2011,0
15-29,LAKSHADWEEP,Female,2012,0
15-29,LAKSHADWEEP,Male,2001,0
15-29,LAKSHADWEEP,Male,2002,0
15-29,LAKSHADWEEP,Male,2003,0
15-29,LAKSHADWEEP,Male,2004,0
15-29,LAKSHADWEEP,Male,2005,0
15-29,LAKSHADWEEP,Male,2006,0
15-29,LAKSHADWEEP,Male,2007,0
15-29,LAKSHADWEEP,Male,2008,0
15-29,LAKSHADWEEP,Male,2009,0
15-29,LAKSHADWEEP,Male,2010,0
15-29,LAKSHADWEEP,Male,2011,0
15-29,LAKSHADWEEP,Male,2012,0
15-29,MADHYA PRADESH,Female,2001,5754
15-29,MADHYA PRADESH,Female,2002,5595
15-29,MADHYA PRADESH,Female,2003,5637
15-29,MADHYA PRADESH,Female,2004,5259
15-29,MADHYA PRADESH,Female,2005,4581
15-29,MADHYA PRADESH,Female,2006,4677
15-29,MADHYA PRADESH,Female,2007,5019
15-29,MADHYA PRADESH,Female,2008,5499
15-29,MADHYA PRADESH,Female,2009,6288
15-29,MADHYA PRADESH,Female,2010,6225
15-29,MADHYA PRADESH,Female,2011,6168
15-29,MADHYA PRADESH,Female,2012,6180
15-29,MADHYA PRADESH,Male,2001,4251
15-29,MADHYA PRADESH,Male,2002,4365
15-29,MADHYA PRADESH,Male,2003,4137
15-29,MADHYA PRADESH,Male,2004,4224
15-29,MADHYA PRADESH,Male,2005,3372
15-29,MADHYA PRADESH,Male,2006,3501
15-29,MADHYA PRADESH,Male,2007,3939
15-29,MADHYA PRADESH,Male,2008,4776
15-29,MADHYA PRADESH,Male,2009,5274
15-29,MADHYA PRADESH,Male,2010,5370
15-29,MADHYA PRADESH,Male,2011,5931
15-29,MADHYA PRADESH,Male,2012,5988
15-29,MAHARASHTRA,Female,2001,7899
15-29,MAHARASHTRA,Female,2002,7935
15-29,MAHARASHTRA,Female,2003,7458
15-29,MAHARASHTRA,Female,2004,7719
15-29,MAHARASHTRA,Female,2005,7839
15-29,MAHARASHTRA,Female,2006,8049
15-29,MAHARASHTRA,Female,2007,7854
15-29,MAHARASHTRA,Female,2008,7236
15-29,MAHARASHTRA,Female,2009,7161
15-29,MAHARASHTRA,Female,2010,8412
15-29,MAHARASHTRA,Female,2011,8184
15-29,MAHARASHTRA,Female,2012,7593
15-29,MAHARASHTRA,Male,2001,8415
15-29,MAHARASHTRA,Male,2002,8532
15-29,MAHARASHTRA,Male,2003,9198
15-29,MAHARASHTRA,Male,2004,9240
15-29,MAHARASHTRA,Male,2005,8631
15-29,MAHARASHTRA,Male,2006,9264
15-29,MAHARASHTRA,Male,2007,9066
15-29,MAHARASHTRA,Male,2008,9108
15-29,MAHARASHTRA,Male,2009,8703
15-29,MAHARASHTRA,Male,2010,10455
15-29,MAHARASHTRA,Male,2011,10431
15-29,MAHARASHTRA,Male,2012,10488
15-29,MANIPUR,Female,2001,33
15-29,MANIPUR,Female,2002,21
15-29,MANIPUR,Female,2003,12
15-29,MANIPUR,Female,2004,15
15-29,MANIPUR,Female,2005,6
15-29,MANIPUR,Female,2006,33
15-29,MANIPUR,Female,2007,12
15-29,MANIPUR,Female,2008,21
15-29,MANIPUR,Female,2009,17
15-29,MANIPUR,Female,2010,24
15-29,MANIPUR,Female,2011,36
15-29,MANIPUR,Female,2012,33
15-29,MANIPUR,Male,2001,36
15-29,MANIPUR,Male,2002,27
15-29,MANIPUR,Male,2003,27
15-29,MANIPUR,Male,2004,50
15-29,MANIPUR,Male,2005,14
15-29,MANIPUR,Male,2006,21
15-29,MANIPUR,Male,2007,21
15-29,MANIPUR,Male,2008,33
15-29,MANIPUR,Male,2009,18
15-29,MANIPUR,Male,2010,21
15-29,MANIPUR,Male,2011,18
15-29,MANIPUR,Male,2012,42
15-29,MEGHALAYA,Female,2001,33
15-29,MEGHALAYA,Female,2002,24
15-29,MEGHALAYA,Female,2003,15
15-29,MEGHALAYA,Female,2004,42
15-29,MEGHALAYA,Female,2005,39
15-29,MEGHALAYA,Female,2006,51
15-29,MEGHALAYA,Female,2007,45
15-29,MEGHALAYA,Female,2008,32
15-29,MEGHALAYA,Female,2009,51
15-29,MEGHALAYA,Female,2010,44
15-29,MEGHALAYA,Female,2011,62
15-29,MEGHALAYA,Female,2012,81
15-29,MEGHALAYA,Male,2001,66
15-29,MEGHALAYA,Male,2002,27
15-29,MEGHALAYA,Male,2003,21
15-29,MEGHALAYA,Male,2004,33
15-29,MEGHALAYA,Male,2005,48
15-29,MEGHALAYA,Male,2006,120
15-29,MEGHALAYA,Male,2007,84
15-29,MEGHALAYA,Male,2008,57
15-29,MEGHALAYA,Male,2009,72
15-29,MEGHALAYA,Male,2010,111
15-29,MEGHALAYA,Male,2011,201
15-29,MEGHALAYA,Male,2012,120
15-29,MIZORAM,Female,2001,9
15-29,MIZORAM,Female,2002,15
15-29,MIZORAM,Female,2003,9
15-29,MIZORAM,Female,2004,18
15-29,MIZORAM,Female,2005,9
15-29,MIZORAM,Female,2006,15
15-29,MIZORAM,Female,2007,3
15-29,MIZORAM,Female,2008,6
15-29,MIZORAM,Female,2009,9
15-29,MIZORAM,Female,2010,24
15-29,MIZORAM,Female,2011,15
15-29,MIZORAM,Female,2012,21
15-29,MIZORAM,Male,2001,66
15-29,MIZORAM,Male,2002,81
15-29,MIZORAM,Male,2003,54
15-29,MIZORAM,Male,2004,87
15-29,MIZORAM,Male,2005,57
15-29,MIZORAM,Male,2006,93
15-29,MIZORAM,Male,2007,27
15-29,MIZORAM,Male,2008,36
15-29,MIZORAM,Male,2009,87
15-29,MIZORAM,Male,2010,90
15-29,MIZORAM,Male,2011,111
15-29,MIZORAM,Male,2012,202
15-29,NAGALAND,Female,2001,21
15-29,NAGALAND,Female,2002,9
15-29,NAGALAND,Female,2003,15
15-29,NAGALAND,Female,2004,12
15-29,NAGALAND,Female,2005,9
15-29,NAGALAND,Female,2006,12
15-29,NAGALAND,Female,2007,8
15-29,NAGALAND,Female,2008,24
15-29,NAGALAND,Female,2009,11
